,0,Lead Amount ppb,Partial Postal Code,Sample Number,Sampled Date
2046,,0.102,M5M,1594071.0,2014-06-04
2075,,0.209,M6R,1593004.0,2014-06-04
2026,,0.476,M4R,1594089.0,2014-06-04
2051,,0.0530,M6C,1594039.0,2014-06-04
2061,,0.226,M6S,1593118.0,2014-06-04
2068,,3.33,M6S,1592968.0,2014-06-04
2069,,0.134,M6P,1593010.0,2014-06-04
2010,,<0.0500,M1K,1592971.0,2014-06-04
2041,,0.402,M4G,1597089.0,2014-06-04
2027,,0.0546,M5M,1594061.0,2014-06-04
2080,,0.234,M9C,1593131.0,2014-06-04
2066,,0.0856,M8V,1595385.0,2014-06-04
2038,,<0.0500,M6P,1592915.0,2014-06-04
2042,,3.09,M4S,1594026.0,2014-06-04
2009,,2.95,M6R,1592970.0,2014-06-04
2017,,3.71,M4M,1597249.0,2014-06-04
2030,,0.236,M4C,1596806.0,2014-06-04
2071,,4.39,M4R,1594094.0,2014-06-04
2079,,0.248,M6P,1593149.0,2014-06-04
2045,,2.07,M6R,1594526.0,2014-06-04
2064,,<0.0500,M4J,1591266.0,2014-06-04
2078,,0.493,M4G,1591357.0,2014-06-04
2060,,0.275,M6P,1593003.0,2014-06-04
2047,,0.152,M6S,1592900.0,2014-06-04
2050,,<0.0500,M6S,1593146.0,2014-06-04
2058,,1.87,M6E,1592965.0,2014-06-04
2065,,1.77,M4E,1597806.0,2014-06-04
2031,,0.0902,M4L,1597928.0,2014-06-04
2022,,4.18,M4E,1594781.0,2014-06-04
2037,,0.0502,M4K,1597248.0,2014-06-04
2024,,1.31,M4E,1597719.0,2014-06-04
2081,,<0.0500,M6S,1592967.0,2014-06-04
2055,,2.35,M4M,1596872.0,2014-06-04
2040,,0.815,M6P,1593005.0,2014-06-04
2018,,1.88,M9N,1593141.0,2014-06-04
2012,,0.561,M6S,1593163.0,2014-06-04
2020,,0.0560,M6S,1593013.0,2014-06-04
2025,,<0.0500,M6S,1593103.0,2014-06-04
2013,,0.105,M6S,1593138.0,2014-06-04
2056,,0.816,M4E,1596867.0,2014-06-04
2043,,<0.0500,M6R,1593099.0,2014-06-04
2021,,1.05,M6P,1593011.0,2014-06-04
2062,,0.648,M6G,1597080.0,2014-06-04
2032,,2.17,M4E,1594758.0,2014-06-04
2057,,0.124,M4G,1596978.0,2014-06-04
2039,,0.428,M6R,1593171.0,2014-06-04
2054,,0.213,M5P,1594072.0,2014-06-04
2029,,0.123,M6S,1593089.0,2014-06-04
2034,,0.128,M6C,1593132.0,2014-06-04
2044,,0.0834,M5M,1594053.0,2014-06-04
2052,,<0.0500,M8V,1597236.0,2014-06-04
2014,,0.107,M6S,1593143.0,2014-06-04
2011,,0.870,M4N,1594073.0,2014-06-04
2023,,0.0888,M4C,1597927.0,2014-06-04
2077,,3.24,M4L,1597002.0,2014-06-04
2019,,2.71,M6P,1593007.0,2014-06-04
2008,,0.0938,M6R,1593148.0,2014-06-04
2076,,<0.0500,M4L,1600023.0,2014-06-04
2067,,<0.0500,M5M,1595285.0,2014-06-04
2063,,0.222,M4E,1597012.0,2014-06-04
1998,,<0.0500,M4J,1597019.0,2014-06-05
1983,,0.376,M4L,1595355.0,2014-06-05
1992,,<0.0500,M6M,1594060.0,2014-06-05
1984,,5.43,M6P,1594677.0,2014-06-05
1996,,4.47,M4K,1597801.0,2014-06-05
1988,,<0.0500,M1V,1594697.0,2014-06-05
2002,,0.0514,M8Z,1594521.0,2014-06-05
1985,,0.0779,M9V,1594685.0,2014-06-05
1968,,0.721,M5P,1594038.0,2014-06-05
2003,,<0.0500,M6R,1595311.0,2014-06-05
1978,,0.506,M4C,1596907.0,2014-06-05
1956,,0.751,M6G,1594524.0,2014-06-05
1960,,4.25,M5H,1594660.0,2014-06-05
2000,,1.76,M4B,1597778.0,2014-06-05
1959,,3.23,M4E,1597108.0,2014-06-05
1990,,0.947,M4C,1597786.0,2014-06-05
1957,,1.55,M4M,1596741.0,2014-06-05
2004,,0.0606,M6C,1594027.0,2014-06-05
1970,,0.167,M8X,1593129.0,2014-06-05
1991,,0.0566,M6H,1594662.0,2014-06-05
1953,,0.248,M5S,1597253.0,2014-06-05
2001,,0.828,M1P,1594733.0,2014-06-05
1972,,1.73,M4N,1594077.0,2014-06-05
1973,,2.26,M4L,1591193.0,2014-06-05
1961,,0.106,M4E,1597870.0,2014-06-05
2005,,0.319,M6G,1595362.0,2014-06-05
1955,,<0.0500,M4C,1597833.0,2014-06-05
1982,,2.92,M5M,1595308.0,2014-06-05
1994,,1.22,M4C,1597915.0,2014-06-05
1964,,0.124,M4J,1597049.0,2014-06-05
1980,,6.46,M6G,1594041.0,2014-06-05
1965,,0.983,M4L,1597925.0,2014-06-05
1997,,0.0520,M9B,1596824.0,2014-06-05
2006,,1.07,M6G,1592899.0,2014-06-05
2007,,0.859,M6P,1592964.0,2014-06-05
1962,,8.89,M4P,1593842.0,2014-06-05
1977,,0.212,M5M,1594068.0,2014-06-05
1963,,0.247,M6J,1597251.0,2014-06-05
1971,,2.20,M4W,1594058.0,2014-06-05
1952,,1.52,M6J,1597008.0,2014-06-05
1975,,0.212,M6M,1593144.0,2014-06-05
1993,,0.158,M4N,1594070.0,2014-06-05
1987,,1.03,M4C,1597895.0,2014-06-05
1979,,0.164,M4C,1597896.0,2014-06-05
1995,,2.33,M4N,1597006.0,2014-06-05
1958,,0.0659,M6P,1592972.0,2014-06-05
1999,,3.08,M4C,1597802.0,2014-06-05
1967,,1.51,M6P,1593028.0,2014-06-05
1930,,0.301,M6P,1594624.0,2014-06-06
1903,,0.139,M4C,1597240.0,2014-06-06
1938,,0.150,M4E,1594878.0,2014-06-06
1929,,0.106,M5M,1593795.0,2014-06-06
1911,,<0.0500,M8Y,1599078.0,2014-06-06
1934,,0.188,M1L,1597776.0,2014-06-06
1923,,0.0830,M1V,1594816.0,2014-06-06
1946,,<0.0500,M4R,1594176.0,2014-06-06
1906,,18.7,M6E,1597027.0,2014-06-06
1928,,11.3,M4M,1594698.0,2014-06-06
1947,,0.112,M4E,1594868.0,2014-06-06
1951,,0.129,M9P,1594671.0,2014-06-06
1915,,0.0637,M2N,1593596.0,2014-06-06
1945,,<0.0500,M5S,1597090.0,2014-06-06
1900,,<0.0500,M4R,1593789.0,2014-06-06
1944,,0.0773,M6S,1593134.0,2014-06-06
1924,,0.0597,M1V,1594869.0,2014-06-06
1919,,0.200,M4C,1597102.0,2014-06-06
1943,,2.21,M6P,1594538.0,2014-06-06
1950,,0.480,M4M,1595379.0,2014-06-06
1949,,2.32,M5M,1594096.0,2014-06-06
1918,,3.20,M4C,1597772.0,2014-06-06
1939,,2.92,M4K,1597760.0,2014-06-06
1912,,0.211,M6P,1594728.0,2014-06-06
1935,,0.628,M4L,1595294.0,2014-06-06
1902,,0.0694,M4N,1593867.0,2014-06-06
1933,,1.40,M6R,1595403.0,2014-06-06
1899,,0.125,M4S,1594045.0,2014-06-06
1920,,2.70,M5M,1594040.0,2014-06-06
1917,,1.48,M6E,1594553.0,2014-06-06
1898,,0.0598,M9W,1594729.0,2014-06-06
1913,,0.893,M6P,1594852.0,2014-06-06
1910,,6.10,M6S,1594641.0,2014-06-06
1932,,1.96,M4E,1597083.0,2014-06-06
1931,,1.36,M6J,1597294.0,2014-06-06
1941,,1.43,M4C,1596917.0,2014-06-06
1908,,0.0612,M6S,1594508.0,2014-06-06
1922,,5.99,M4C,1597770.0,2014-06-06
1940,,3.94,M6S,1594528.0,2014-06-06
1921,,0.104,M2N,1594051.0,2014-06-06
1926,,9.78,M4C,1596892.0,2014-06-06
1905,,<0.0500,M5R,1593859.0,2014-06-06
1914,,0.123,M6S,1594663.0,2014-06-06
1925,,0.0992,M6P,1596455.0,2014-06-06
1897,,0.0727,M9C,1599149.0,2014-06-07
1896,,0.263,M6P,1598807.0,2014-06-07
1887,,4.95,M6C,1594699.0,2014-06-08
1888,,3.19,M6H,1594454.0,2014-06-08
1895,,0.433,M4W,1595309.0,2014-06-08
1886,,4.73,M2N,1595358.0,2014-06-08
1892,,2.72,M5M,1597088.0,2014-06-08
1884,,1.29,M6C,1594054.0,2014-06-08
1894,,0.299,M5S,1596914.0,2014-06-08
1889,,4.74,M6E,1594862.0,2014-06-08
1891,,0.293,M4S,1597237.0,2014-06-08
1851,,4.12,M4C,1597710.0,2014-06-09
1879,,1.87,M4L,1597795.0,2014-06-09
1843,,5.77,M4E,1597277.0,2014-06-09
1845,,0.0552,M6R,1594751.0,2014-06-09
1860,,0.0656,M6C,1594050.0,2014-06-09
1839,,0.977,M1N,1594864.0,2014-06-09
1842,,0.0635,M8Z,1594670.0,2014-06-09
1872,,0.241,M6J,1595383.0,2014-06-09
1880,,<0.0500,M6S,1594639.0,2014-06-09
1862,,1.85,M6E,1597092.0,2014-06-09
1844,,0.491,M8Y,1594736.0,2014-06-09
1874,,<0.0500,M2M,1594052.0,2014-06-09
1861,,0.285,M5M,1593754.0,2014-06-09
1856,,0.0506,M2R,1598702.0,2014-06-09
1871,,2.34,M6E,1594750.0,2014-06-09
1846,,0.116,M4E,1595359.0,2014-06-09
1875,,<0.0500,M6C,1594075.0,2014-06-09
1867,,3.28,M6E,1594460.0,2014-06-09
1833,,<0.0500,M5M,1594095.0,2014-06-09
1858,,0.103,M3A,1594042.0,2014-06-09
1859,,0.0990,M5P,1594055.0,2014-06-09
1852,,0.524,M6S,1602145.0,2014-06-09
1868,,<0.0500,M9B,1594655.0,2014-06-09
1876,,1.06,M4N,1595387.0,2014-06-09
1837,,0.407,M6S,1594530.0,2014-06-09
1848,,1.08,M6R,1594756.0,2014-06-09
1870,,0.102,M9B,1594678.0,2014-06-09
1840,,1.33,M4L,1597905.0,2014-06-09
1878,,4.08,M4G,1594656.0,2014-06-09
1873,,0.141,M5S,1598959.0,2014-06-09
1849,,0.158,M8Y,1597033.0,2014-06-09
1850,,0.208,M4J,1597837.0,2014-06-09
1838,,1.44,M4M,1597924.0,2014-06-09
1881,,0.201,M4K,1597874.0,2014-06-09
1864,,0.134,M4N,1594734.0,2014-06-09
1841,,0.512,M1T,1594854.0,2014-06-09
1865,,<0.0500,M4N,1598710.0,2014-06-09
1866,,4.87,M5M,1596821.0,2014-06-09
1857,,0.517,M4N,1599077.0,2014-06-09
1877,,3.80,M4N,1595419.0,2014-06-09
1847,,0.396,M2M,1598909.0,2014-06-09
1854,,1.48,M5N,1594006.0,2014-06-09
1822,,0.0818,M2H,1598714.0,2014-06-10
1821,,0.417,M1L,1603533.0,2014-06-10
1798,,<0.0500,M9V,1594669.0,2014-06-10
1815,,1.59,M4L,1597737.0,2014-06-10
